Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
887,Soup,12,2025-03-21,825,Supermarket,South Bryan,Vegetarian,Lunch
889,Soup,21,2025-03-16,266,Grocery Store,Port Ronaldshire,Vegan,Snacks
894,Pasta,43,2025-03-25,310,Grocery Store,Saraburgh,Vegetarian,Dinner
899,Pasta,44,2025-03-29,5,Grocery Store,Valentineside,Vegetarian,Snacks
907,Chicken,17,2025-03-16,175,Catering Service,Katherinefurt,Vegan,Lunch
908,Rice,16,2025-03-27,463,Grocery Store,East Edwinburgh,Non-Vegetarian,Snacks
914,Chicken,18,2025-03-27,995,Supermarket,Manningshire,Vegan,Dinner
923,Fruits,42,2025-03-24,161,Supermarket,Perezport,Vegan,Snacks
927,Fruits,39,2025-03-26,261,Grocery Store,South Richardhaven,Vegetarian,Snacks
936,Chicken,32,2025-03-30,381,Supermarket,Martinville,Non-Vegetarian,Breakfast
941,Fish,1,2025-03-16,745,Grocery Store,East Lisa,Vegan,Lunch
942,Rice,44,2025-03-30,591,Grocery Store,New Leslieport,Vegan,Dinner
944,Vegetables,41,2025-03-17,807,Supermarket,Williamland,Vegan,Breakfast
948,Fruits,50,2025-03-29,421,Supermarket,Kylehaven,Vegan,Breakfast
953,Soup,2,2025-03-29,731,Grocery Store,East Christophertown,Vegetarian,Breakfast
956,Chicken,39,2025-03-30,626,Supermarket,Heathermouth,Vegan,Snacks
957,Fish,39,2025-03-22,10,Catering Service,West Cherylfort,Vegan,Lunch
960,Fish,46,2025-03-27,920,Restaurant,New Calebberg,Vegetarian,Snacks
963,Fish,33,2025-03-16,827,Grocery Store,East Kimberly,Vegan,Dinner
965,Dairy,44,2025-03-24,791,Grocery Store,West James,Vegetarian,Lunch
966,Dairy,41,2025-03-25,705,Grocery Store,East Robert,Vegan,Snacks
974,Chicken,45,2025-03-17,393,Restaurant,Heatherview,Non-Vegetarian,Lunch
975,Fish,48,2025-03-19,5,Grocery Store,Valentineside,Non-Vegetarian,Lunch
976,Vegetables,41,2025-03-19,738,Grocery Store,West Kelli,Non-Vegetarian,Lunch
978,Dairy,14,2025-03-27,743,Supermarket,South Richard,Vegetarian,Snacks
982,Soup,36,2025-03-19,7,Restaurant,Lake Christopherburgh,Vegetarian,Breakfast
983,Fruits,43,2025-03-22,98,Supermarket,Gardnerfort,Vegetarian,Lunch
986,Rice,23,2025-03-24,14,Catering Service,Garciamouth,Vegan,Snacks
987,Dairy,6,2025-03-29,557,Restaurant,East Aaron,Vegetarian,Dinner
993,Soup,8,2025-03-28,470,Restaurant,Port Daniellechester,Vegetarian,Lunch
994,Salad,17,2025-03-29,37,Catering Service,New Amanda,Non-Vegetarian,Snacks
996,Fish,15,2025-03-30,467,Catering Service,Phillipsfort,Vegan,Breakfast
1000,Salad,18,2025-03-19,155,Supermarket,Charlesview,Non-Vegetarian,Dinner
